userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags,Sentiment,Confidence
308877642,bajangIdaman,2023-06-26 23:29:35+00:00, superairjet min ini iu717 mau berangkat jam berapa boarding 5 30 jadwal 6 00 dan sekarang sudah 7 29 ada apa ini ,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.968257785
96125712,FazhriennyaNtan,2023-06-26 22:52:15+00:00, superairjet min cek dm,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.998970866
1.51E+18,rex_aslan,2023-06-26 16:05:58+00:00, superairjet mohon info saat akan online cek in nomor dan waktu flight saya tiba² berubah dan ini tanpa pemberitahuan sebelumnya sebelumnya iu732 menjadi iu752 ,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.998563945
2987771007,muflfins,2023-06-26 15:29:24+00:00,hallo lionairgroup saya mau tanya tadi saya dapet email dan wa terkait flight cancellation dari lion air ke super air jet apa itu berarti terminal keberangkatannya juga berubah ,1.67E+18,0,0,0,,['lionairgroup'],,neutral,0.993867218
635176507,raratitihhh,2023-06-26 12:26:44+00:00, indie_0 ini pertama kali aku naik super air jet kak klo liat di foto itu kapasitas koper kabin 7kg mending pake koper kecil kak tp klo untuk 20 inch aku kurang yakin bisa masuk kabin cuma aku pernah liat ada yg bawa koper mgkn seukuran itu dibawa masuk kabin tp beda pesawat kak ,1.67E+18,0,0,0,indie_0,['indie_0'],,negative,0.662124753
35724622,weirdoningrum,2023-06-26 10:39:42+00:00, superairjet min tolong cek dm ya makasih ,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.999092102
149363540,calleugenia,2023-06-26 09:30:55+00:00, superairjet halo maaf saya melakukan kesalahan booking via agoda dengan kode booking 992378417 saya sudah bikin ticket di helpdesknya soalnya ga bisa cancel dari agoda ,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.757467389
99259448,iwansunaryanto,2023-06-26 09:13:13+00:00,super air jet buka rute baru terbang makassar ke kendari dan balikpapan sambut libur sekolah dan idul adha https co ibl3v16re9,1.67E+18,0,0,1,,,,neutral,0.99848491
67803685,EdiaPermata,2023-06-26 08:20:41+00:00, yudidudidam superairjet ini maksudnya delay 3 jam ,1.67E+18,0,0,0,yudidudidam,"['yudidudidam', 'SuperAirJet']",,neutral,0.996357262
103169797,thooney07,2023-06-26 04:57:48+00:00,pesawat anda superairjet iu768 rute cgk lop pk 16 45 tgl 25 juni yg mengalami delay dengan rincian 90 menit delay krn alasan operasioanl dan 30 menit krn alasan cuaca yg 90 menit delay ptugas darat anda tidak memberikan kompensasi apa2 selain bullshitt,1.67E+18,0,0,0,,['SuperAirJet'],,negative,0.994980633
7.93E+17,dishub_bwi,2023-06-26 04:26:04+00:00,flight today bandara internasional banyuwangi jakarta banyuwangi pp super air jet iu 0371 a320 reg pk saz rute bwx cgk airborne 11 07 lt citilink qg 0701 a320 reg pk gtg rute bwx cgk airborne 11 17 lt https co 7h4nd6f27v,1.67E+18,0,0,0,,,,neutral,0.997042716
1.30E+18,mdimasasli,2023-06-26 03:59:50+00:00, discommie terbang bersama super air jet https co annehzfrsr,1.67E+18,0,0,1,discommie,['discommie'],,neutral,0.998230994
147476015,midakris,2023-06-26 01:00:26+00:00,naik super air jet aman ga si ya takut,1.67E+18,2,0,0,,,,positive,0.497556418
758716928,xunshinefairy,2023-06-26 00:39:00+00:00, superairjet tolong bales dm ya min,1.67E+18,0,0,0,,['SuperAirJet'],,neutral,0.997014403
1.11E+18,hyuneewinwin,2023-06-25 23:43:19+00:00,mending air asia atau super air jet ya ,1.67E+18,0,0,0,,,,neutral,0.993247271
1.14E+18,Julminus,2023-06-25 17:54:33+00:00, ice_roti super air jet klo ngga pelita cmn 550k,1.67E+18,1,0,0,ice_roti,['ice_roti'],,positive,0.604793429
1.51E+18,txtfromaandy,2023-06-25 17:17:08+00:00, infotwitwor_ ini mba2 pramugari super air jet itu kalo ga salah deh pernah lewat di tl ,1.67E+18,0,0,0,infotwitwor_,['infotwitwor_'],,neutral,0.817685366
1181270683,classieucal,2023-06-25 17:10:29+00:00, _quelapis super air jet sih nyaman banget tempat duduknya juga lebih luas gitu aku kemarin pakai itu waktu balik bpp sby sih https co kehqejod1z,1.67E+18,0,0,0,_quelapis,['_quelapis'],,positive,0.998269439
